train_volume_hour,avg_volume
0,1325.7732142857142
5,2859.219178082192
6,17918.901360544216
7,39025.189768976896
8,48192.239583333336
9,32755.836330935253
10,23422.21352313167
11,25232.289930555555
12,28103.547781569967
13,30504.78476821192
14,29428.76599326599
15,28843.72408026756
16,31175.591362126244
17,48650.66777408638
18,64238.22631578947
19,43214.34175084175
20,29592.92976588629
21,26695.340277777777
22,20018.989655172412
23,8588.37627118644
